Day,Date,Pillar,Content Type,Caption Hook,Caption Angle,Visual Direction,CTA,Hashtag Set,Notes
11,[Fill in],Engagement,Carousel - Poll / Debate,"Which house would you buy? A or B","Show two different homes in similar price range with different trade-offs (size vs. location, older vs. newer, etc.)","Two-home comparison: photo A and photo B side by side","Comment A or B — tell me why",SET A,
12,[Fill in],Behind the Scenes,Reel or Story,"What happens at a listing appointment","Walk viewers through what you actually do: market analysis, pricing, marketing plan. Pulls back the curtain.","Show your materials, your CMA, your presentation setup","DM me 'SELL' if you're thinking about listing",SET D,
13,[Fill in],Educational,Carousel,"How to win in a multiple offer situation (buyer tips)","Escalation clauses, clean offers, personal letters (where legal), inspection contingency strategy.","Each strategy on its own slide with brief explanation","Save this — you'll need it when the right home comes on the market",SET B,"End of week 2"
14,[Fill in],Market Update,Story or Feed,"Is it a buyer's market or seller's market in [City] right now?","1 slide explanation: months of supply <3 = seller's market, 3-6 = balanced, 6+ = buyer's market. Apply current data.","Simple visual with a dial or meter graphic","Comment your neighborhood and I'll tell you which type of market it is",SET D,
15,[Fill in],Promotional,Open House Post,"🏡 Open house this [Day] — [Address]","Full details: time, key features, price. Drive traffic to the event.","Best interior shot or hero exterior","DM me for private showing if you can't make the open house",SET A,
16,[Fill in],Testimonial,Reel - Client Story,"My clients' home buying journey (with their permission)","Brief story arc: challenge → search → offer struggle → success. Relatable and emotional.","Mix of property photos and any client photos (with consent) OR just tell the story to camera","DM me 'STORY' and I'll share how I can help you too",SET C,
17,[Fill in],Educational,Carousel,"What does an agent actually do for you? The real list.","Bust the myth that agents just open doors. Cover: MLS access, negotiation, legal protection, timelines, market knowledge.","Simple checklist design — bold headline, bullet points each slide","Tag someone who thinks they can skip the agent",SET B,
18,[Fill in],Behind the Scenes,Story Sequence,"Prep for an open house — before & after","Show the home before staging vs. after. Or show your own pre-open-house checklist in action.","Before photo vs. after — dramatic difference preferred","Follow me to see how it goes on [day]!",SET D,
19,[Fill in],Engagement,Single Post or Reel,"What's your biggest fear about buying a home?","Normalize the anxiety. Common fears: overpaying, getting rejected, making a mistake, competition. Validate then address.","Talking head or text overlay","Comment your fear — I'll answer every single one",SET B,
20,[Fill in],Market Update,Carousel,"3 signs [City] real estate is about to [shift / stay hot / cool down]","Forward-looking market commentary. Inventory trends, rate predictions, seasonal patterns.","Data + your face on the final slide","Follow me for monthly updates",SET D,"End of week 3"
21,[Fill in],Educational,Carousel,"The real cost of buying a home (most buyers underestimate this)","Break down: down payment + closing costs + inspection + moving + immediate fixes. The full picture.","Budget breakdown visual — pie chart or stacked bar","DM me 'COSTS' and I'll send you my free buyer cost worksheet",SET B,
22,[Fill in],Promotional,Just Listed or Coming Soon,"Coming soon 👀 [Neighborhood]","Teaser for upcoming listing. Limited details. Build curiosity.","Partial or blurred exterior image. Mystery vibe.","DM me now to get first access",SET A,
23,[Fill in],Engagement,Reel or Story Poll,"Rate your current home 1-10 — I'll tell you if you should sell","Prompt interaction. Follow up in comments with genuine advice based on what they share.","Talking head or poll sticker","Comment your rating and your neighborhood",SET B,
24,[Fill in],Testimonial,Quote Graphic or Video,"One year later — how are my buyers doing?","Check-in post about past clients. Share update (with permission) — did they love the neighborhood? Gain equity?","Lifestyle photo of the home or family (with permission) OR branded text card","Your story could be next — DM me to start the conversation",SET C,
25,[Fill in],Educational,Carousel or Reel,"How to get the best price for your home (even in a slow market)","Pricing strategy + staging + marketing. Three levers every seller has control over.","Three-section visual breakdown","Save this for when you're ready to list",SET B,
26,[Fill in],Behind the Scenes,Story or Reel,"The most common question I get asked — and my honest answer","Choose a hot-button question: 'Will prices drop?', 'Should I wait?', 'Are we in a bubble?' Give real answer.","Camera-facing casual delivery","What question do YOU want me to answer next? Comment below",SET D,
27,[Fill in],Market Update,Infographic,"[Neighborhood] real estate report — [Month]","Focused neighborhood breakdown: median price, DOM, notable sales. More specific = more valuable.","Clean branded graphic — neighborhood name in header","Comment your neighborhood for a custom update",SET D,
28,[Fill in],Engagement,Carousel or Single,"Dream home feature — which would you choose?","Would you rather: garage or backyard? Pool or gym? Open floor plan or cozy rooms? Fun engagement.","Side-by-side option visuals","Comment A or B — tell me why!",SET A,
29,[Fill in],Educational,Reel or Carousel,"How long does it ACTUALLY take to buy a home?","Timeline from pre-approval to closing: typical 30-45 days in contract. Plus search time. Realistic expectations.","Horizontal timeline graphic","DM me 'TIMELINE' and I'll walk you through your specific situation",SET B,
30,[Fill in],Promotional + CTA,Single Image or Reel,"Month recap + open CTA","Share what you accomplished this month (X homes listed, X sold, X buyers helped). Personal and proud.","Your face + maybe collage of properties you worked on","If you want to be on my list next month — DM me 'GOALS'",SET C,"End of month — strong CTA day"
