Day,Date_Placeholder,Pillar,Content_Type,Caption_Hook,Visual_Direction,CTA,Hashtag_Set,Notes
17,Week 3 Wed,Behind the Kitchen,Single Image,This is where the magic happens every single day of the week.,Wide environmental shot of the kitchen at full service with all stations active and lit,Want to work with us? DM us your story,Set C (Chef & Kitchen),Great opportunity to humanize the team — feature two or three faces naturally
18,Week 3 Thu,Customer Love & Social Proof,Single Image,Best meal I've had in years — words like these keep our whole team going every day.,Elegant pull-quote graphic with restaurant branding and a soft background food photo,Leave your review and we will feature you next,Set B (Local Restaurant),Design pull-quote in brand font; keep background subtle so text reads clearly
19,Week 3 Fri,Food & Menu Spotlight,Reel,We challenged our chef to plate our bestseller in 45 seconds and here is what happened.,Fast-cut Reel with on-screen timer counting down as chef plates the dish at full speed,Comment your order and we will have it ready when you arrive,Set A (Food Photography),Add timer graphic overlay in editing; use satisfying sound design
20,Week 3 Sat,Educational & Food Culture,Carousel,From farm to fork — here is exactly where our ingredients come from each week.,Slide 1 map graphic of local suppliers then Slides 2 through 5 each supplier with photo and one-line story,Support local by dining local — see you at the table,Set B (Local Restaurant),Tag supplier accounts in the post to expand organic reach
21,Week 3 Sun,Behind the Kitchen,Reel,Sunday service means our pastry team is already in before sunrise.,Morning light B-roll of pastry prep — rolling dough and icing desserts in warm kitchen glow,Treat yourself this Sunday — reservations open now,Set E (Brunch),Warm golden tones work best here; shoot near a window if possible
22,Week 4 Mon,Food & Menu Spotlight,Single Image,One bite of this and you will understand why it has never left our menu.,Close-up overhead of a classic signature dish with minimal propping — let the food speak,Add it to your next visit,Set A (Food Photography),Caption should tell the dish's backstory in three to four sentences
23,Week 4 Tue,Engagement & Community,Carousel,We are celebrating years in this neighborhood and here is a look back at how we got here.,Slide 1 then-and-now split photo then Slides 2 through 5 milestone moments and throwback kitchen photos,Share your favorite memory with us in the comments,Set B (Local Restaurant),Gather archive photos in advance; add year captions on each slide
24,Week 4 Wed,Customer Love & Social Proof,Reel + Story,You tagged us and we noticed — here is our favorite guest photo from this month.,Collage-style Reel of user-generated content photos set to upbeat music with brand logo watermark end frame,Tag us in your next visit for a chance to be featured,Set B (Local Restaurant),Always credit original poster by username; get permission before reposting
25,Week 4 Thu,Food & Menu Spotlight,Carousel,New menu incoming and here is your first look at what is coming this season.,Slide 1 teaser blurred image with Coming Soon text then Slides 2 through 4 partial reveals and Slide 5 full reveal,Save this post and stay tuned for launch day,Set A (Food Photography),Build anticipation with partial reveals — do not show the full dish until Slide 5
26,Week 4 Fri,Educational & Food Culture,Single Image,Here is the science behind why searing meat at high heat makes it taste so much better.,Split image showing raw protein on one side and seared crust close-up on the other with Maillard label,Try this at home and tag us in your results,Set C (Chef & Kitchen),Educational posts with a surprising fact in the hook perform well on Fridays
27,Week 4 Sat,Promotions & Events,Single Image,This weekend only — our chef's special prix fixe at a price you will not want to miss.,Bold promotional graphic with dish photo with price and offer dates clearly displayed with logo,Reserve your spot now — link in bio,Set D (Events & Specials),Run as a paid boost for two days; target five-mile radius around restaurant
28,Week 4 Sun,Engagement & Community,Story,We want to know — brunch or dinner which do you love most at our restaurant?,Branded story graphic with two side-by-side images showing a brunch spread versus a dinner scene,Vote and tell us why in our DMs,Set E (Brunch),Use the question sticker to collect open-ended responses for future content ideas
29,Week 5 Mon,Promotions & Events,Reel + Story,Big news — we are hosting a special event next week and you are invited.,High-energy Reel teaser with event date and location as animated text overlay on venue B-roll,RSVP now — spots are limited and link is in bio,Set D (Events & Specials),Post event to Google and Facebook Events simultaneously for cross-platform reach
30,Week 5 Tue,Promotions & Events,Carousel,Last chance to grab our limited-time offer before it is gone for good.,Slide 1 bold countdown graphic then Slide 2 offer details then Slide 3 dish photo then Slide 4 how to redeem,Do not miss out — offer ends at midnight,Set D (Events & Specials),Schedule post for 9 AM; run Stories reminders at noon and 6 PM the same day
