Week,Date (Monday),Content Topic,Platform,Format,Caption Hook
Week 33,2026-09-06,Why your accountant needs clean books before tax season,Facebook,Video,'Why your accountant needs clean books be...' -- here's the truth
Week 34,2026-09-13,How AI is changing bookkeeping (what it means for you),LinkedIn,Text Post,Most business owners don't know this about how ai is changing bookkeeping...
Week 35,2026-09-20,Should you use accrual or cash basis accounting?,Instagram,Story,'Should you use accrual or cash basis acc...' -- here's the truth
Week 36,2026-09-27,10 questions to ask before hiring a bookkeeper,LinkedIn,Text Post,'10 questions to ask before hiring a book...' -- here's the truth
Week 37,2026-10-06,The most common audit triggers for small businesses,Instagram,Carousel,Most business owners don't know this about the most common audit triggers...
Week 38,2026-10-13,What is a business entity type and which is best?,Facebook,Video,'What is a business entity type and which...' -- here's the truth
Week 39,2026-10-20,How to fire your current bookkeeper professionally,LinkedIn,Text Post,'How to fire your current bookkeeper prof...' -- here's the truth
Week 40,2026-10-27,Year-end financial review checklist,Instagram,Story,Most business owners don't know this about year-end financial review chec...
Week 41,2026-11-06,How to organize your business receipts (a simple system),LinkedIn,Text Post,'How to organize your business receipts (...' -- here's the truth
Week 42,2026-11-13,What does a bank reconciliation actually do?,Instagram,Carousel,'What does a bank reconciliation actually...' -- here's the truth
Week 43,2026-11-20,Building business credit: what your bookkeeper needs you to know,Facebook,Video,Most business owners don't know this about building business credit: what...
Week 44,2026-11-27,Payroll basics for the small business owner,LinkedIn,Text Post,'Payroll basics for the small business ow...' -- here's the truth
Week 45,2026-12-06,What is a budget and how to build one for your business,Instagram,Story,'What is a budget and how to build one fo...' -- here's the truth
Week 46,2026-12-13,How to read a Balance Sheet in 5 minutes,LinkedIn,Text Post,Most business owners don't know this about how to read a balance sheet in...
Week 47,2026-12-20,The one financial metric that predicts business failure,Instagram,Carousel,'The one financial metric that predicts b...' -- here's the truth
Week 48,2026-12-27,End-of-year letter from your bookkeeper,Facebook,Video,'End-of-year letter from your bookkeeper...' -- here's the truth
