Day,Date_Placeholder,Pillar,Content_Type,Caption_Hook,Visual_Direction,CTA,Hashtag_Set,Notes
Day 11,Week 2 - Thursday,Transformation & Results,Carousel,"10 weeks ago she couldn't touch her toes. Here's what changed.","Slide 1: Member's starting-point moment. Slides 2–6: milestones and small wins. Final slide: current achievement photo and a short quote",Tag someone who needs to see this,Set D,Always get written permission and let the member review before posting. Real journeys outperform stock imagery 10 to 1.
Day 12,Week 2 - Friday,Engagement,Reel,"Drop a 🔥 if you've ever left a class feeling like a completely different person.","Energetic class highlights with jump cuts synced to music. High energy. Real people. Real effort.",Comment below,Set C,Use trending audio. Post Friday morning when people plan weekend workouts. Engagement-driven content drives genuine reach.
Day 13,Week 2 - Saturday,Educational & Wellness,Single Image,"Your mat is a judgment-free zone. Here's a reminder of what we believe.","Clean graphic with a short studio values statement in elegant typography on brand color. Studio logo in the corner.",Save this post,Set A,Pin this post to your profile after publishing. Values-based content builds long-term brand loyalty.
Day 14,Week 2 - Sunday,Behind the Studio,Story,"Sunday reset: a peek behind the curtain at how we prep for the week.","Quick photo-series Story of Sunday prep work — cleaning equipment and writing the week's class schedule.",DM us,Set B,Post 3–5 Story frames in sequence. Add an 'Ask me anything' sticker on the last frame to invite questions.
Day 15,Week 3 - Monday,Transformation & Results,Reel,"This is what consistency actually looks like — no filters.","Side-by-side or before/after montage of a member's real progress. Raw and honest. Text overlay: 'Showing up matters.'",Tag someone who needs to see this,Set D,Keep it authentic. Avoid over-produced edits. The rawer it feels the more shares it earns.
Day 16,Week 3 - Tuesday,Transformation & Results,Story,"Real talk: the first class is always the hardest. Here's what our members wish they knew before showing up.","3–4 Story frames with bold text quotes from real members about their first class experience. Simple brand background. No photos needed.",Book a free trial,Set D,Collect quotes from members after class — a quick voice note or DM works perfectly. This style of Story drives trial bookings.
Day 17,Week 3 - Wednesday,Promotions & Programs,Reel,"We've been building something for months — and it's finally ready.","Cinematic teaser Reel: slow zooms into the studio and equipment close-ups and a brief countdown. Ends with program name reveal.",Link in bio,Set E,Build 2–3 teaser Stories before dropping this Reel. Urgency and mystery drive click-throughs significantly.
Day 18,Week 3 - Thursday,Educational & Wellness,Carousel,"What to eat before and after a workout — and what to skip entirely.","Slide 1: Bold headline. Slide 2: Pre-workout do's. Slide 3: Pre-workout don'ts. Slide 4: Post-workout do's. Slide 5: Don'ts. Final slide: Studio logo",Save this post,Set A,Nutrition content earns consistent saves. Cite general wellness guidance and recommend consulting a professional.
Day 19,Week 3 - Friday,Community & Connection,Single Image,"The only bad workout is the one that didn't happen.","Candid shot of a member mid-class fully in the zone. Warm and energetic lighting. Genuine effort not performance.",Tag a friend,Set C,Post Friday morning. Use a member quote if they shared one. Always ask permission before posting identifiable photos.
Day 20,Week 3 - Saturday,Behind the Studio,Reel,"Ever wonder what we do before the first class of the day? Come see.","Instructor walking through their morning studio routine — setting up mats and warming up and reviewing the plan. Calm and grounding.",DM us,Set B,Shoot in one take if possible. The casual feel is the whole point. Add soft background music with no voiceover.
Day 21,Week 3 - Sunday,Engagement,Story Poll,"Which class would you like us to add to the schedule?","Poll with two options your audience has requested — for example Hot Pilates vs. Sunrise Yoga Flow.",DM us,Set A,Use poll results to make a real programming decision and announce the winner. Closes the feedback loop and builds trust.
Day 22,Week 4 - Monday,Transformation & Results,Carousel,"From 'I'll try it once' to 3 years and counting — a real member story.","Slide 1: Opening quote from the member about their first class. Slides 2–6: journey highlights. Final slide: current photo and advice for beginners",Tag someone who needs to see this,Set D,Long-form transformation stories earn deep saves and DMs. Post with permission and let the member review copy first.
Day 23,Week 4 - Tuesday,Educational & Wellness,Single Image,"Breathwork isn't just for yoga class — here's why it belongs in your everyday life.","Clean branded graphic with 3 breathwork benefits listed. Simple icons. Minimal text. Brand colors throughout.",Save this post,Set A,Wellness graphics with practical takeaways consistently earn saves. Pair with a longer caption explaining each benefit.
Day 24,Week 4 - Wednesday,Behind the Studio,Carousel,"The equipment we swear by — and exactly why it lives in our studio.","Slide 1: Full studio equipment overview. Slides 2–6: one item per slide with why you chose it and how it benefits members. Final slide: CTA",Book a free trial,Set B,Equipment content positions your studio as expert and intentional. Great for justifying premium pricing in captions.
Day 25,Week 4 - Thursday,Community & Connection,Reel,"This is what our community sounds like on a Wednesday morning.","Ambient audio Reel — members warming up and laughing and equipment sounds and instructor cueing. No music overlay. Studio alive.",Tag a friend,Set C,ASMR-style fitness content is trending. Let natural sounds carry it. Keep it 15–20 seconds. Caption the vibe.
Day 26,Week 4 - Friday,Transformation & Results,Single Image,"She almost didn't sign up. We're so glad she did.","Close portrait of a member beaming post-class. Soft natural background. Pull a short quote from them for the caption.",Tag a friend,Set D,Friday member spotlights build community and social proof together. Boost this post if budget allows — strong converter.
Day 27,Week 4 - Saturday,Community & Connection,Story,"Saturday energy check — share this if you're about to crush a workout.","Bright branded Story graphic with bold text: 'Saturday = sweat day.' Add a share sticker to encourage resharing.",DM us,Set C,Post at 7am Saturday before people head to class. Add a 'share to your story' prompt in the text overlay.
Day 28,Week 4 - Sunday,Transformation & Results,Reel,"This member didn't change their body — they changed their entire relationship with it.","Instructor or member speaking to camera in a quiet honest moment. No gym-bro energy. Warm and real. Under 40 seconds.",Tag someone who needs to see this,Set D,This type of mindset-shift content earns the most saves and shares in the fitness space. Write a heartfelt caption.
Day 29,Week 5 - Monday,Behind the Studio,Single Image,"Not every day is perfect. But every day we show up — and that's the culture we've built.","Candid behind-the-scenes shot of staff in a real moment — tired or laughing or problem-solving. Honest and human.",DM us,Set B,Vulnerability posts consistently earn the highest saves and DMs. Write a caption that tells a real studio story.
Day 30,Week 5 - Tuesday,Transformation & Results,Carousel,"30 days of showing up. Here's what our community built this month.","Slide 1: '30 Days In' headline with the month name. Slides 2–6: member wins and class milestones from the month. Final slide: 'Here's to the next 30.' + booking CTA",Book a free trial,Set D,Use this as a monthly wrap-up tradition. Archive these posts — they become powerful social proof over time.
