"Day","Date","Pillar","Content Type","Caption Hook","Caption Angle","Visual Direction","CTA","Hashtag Set","Notes"
"15","Day 15","Educational","Reel","Here's why your photos look different on your phone vs. printed — and how to fix it.","Color calibration and export settings explained simply — highly shareable educational content","Screen recording of Lightroom export settings with voiceover, end with printed vs. digital comparison","Save this if you've ever been disappointed by a print","Set 5 BTS","Post 10am-12pm. Tutorial Reels get strong saves and shares. Add captions for silent viewing."
"16","Day 16","Work/Reveals","Carousel","Same family. Three years in a row. Watch what changed.","Year-over-year family session comparison — emotional, nostalgic, and deeply shareable","Slides alternating between years: same location, similar poses, showing kids growing. Final slide: current year","Book your own annual session — DM me 'ANNUAL'","Set 3 Family","Get client permission. Anniversary/legacy content drives emotional shares."
"17","Day 17","Engagement","Reel","Okay photographers, be honest — how many hard drives do you have right now?","Funny engagement post targeting fellow photographers — builds community and shares fast","Quick comedic Reel: pulling out drives from a bag, stacking them dramatically, end with a stunned face","Comment your number — no judgment zone","Set 5 BTS","Post 5-7pm. Humor content peaks weekday evenings. Use a funny trending sound."
"18","Day 18","BTS","Single Image","The location looked terrible until I turned 180 degrees.","Perspective and scouting tip — shows the creative problem-solving behind a session","Diptych or single image showing the 'ugly' direction vs. the beautiful final composition","Drop a location scouting win in the comments","Set 5 BTS","Post 11am-1pm. Single images with a reveal hook perform steadily all week."
"19","Day 19","Work/Reveals","Reel","She almost didn't book because she said she wasn't photogenic. These are the results.","Confidence-boosting transformation story — directly addresses a top client objection","Emotional Reel: nervous client arriving, laughing behind camera, stunning final reveal portrait","If this sounds like you, send me a DM — I promise you're more photogenic than you think","Set 1 Portrait","Post 6-8pm Tuesday or Wednesday. This objection is universal — expect high saves."
"20","Day 20","Educational","Carousel","What to wear to your photo session (and what to absolutely avoid).","Outfit guide for clients — saves answer time and positions photographer as an expert guide","Slide 1: bold hook. Slides 2-5: good examples with photos. Slides 6-8: what NOT to wear. Slide 9: color palette tips","Save this and send it to whoever is coming to your session","Set 1 Portrait","10-slide max. This carousel gets shared by clients. Pin it to your profile."
"21","Day 21","Social Proof","Reel","I read every word of this review and honestly I ugly-cried at my desk.","Reading a real client review on camera — raw, personal, and incredibly trust-building","Phone or laptop screen showing a 5-star review, photographer reads it on camera with genuine reaction","If you want to feel this seen by your photographer, book a consultation — link in bio","Mix","Post 12-2pm. Authentic vulnerability performs well. Use soft background music."
"22","Day 22","BTS","Carousel","What a wedding photographer actually does the week before the wedding.","Behind-the-scenes of pre-wedding prep — shows professionalism and thoroughness to couples","Slides: venue walkthrough, timeline draft, gear check, backup kit, client email, day-of checklist","If you're a bride, save this so you know what to expect from your photographer","Set 2 Wedding","Positions you as a premium, detail-oriented photographer. Strong trust content."
"23","Day 23","Work/Reveals","Single Image","Golden hour only lasts 12 minutes. We made every second count.","Urgency and magic of golden hour — romantic and aspirational for couples","Stunning golden-hour couple portrait: backlit, warm tones, couple laughing or in a quiet moment","Tag your person and tell them you want this photo","Set 2 Wedding","Post Thursday or Friday evening. Tagging CTA boosts reach significantly."
"24","Day 24","Engagement","Stories","This or that: branding shoot edition — swipe through and tell me your style.","Fun, low-effort engagement Stories — great for understanding your audience","7-10 Stories with 'This or That' branding photo comparisons using the poll sticker","Vote on each one — your answers help me plan future content!","Set 4 Branding","Use Stories poll sticker on every slide. Great for audience research too."
"25","Day 25","Educational","Reel","3 posing cues that make every client look confident in photos — even if they hate being photographed.","Posing tips that remove friction for nervous clients — shareable by clients AND photographers","Demonstrate each pose cue on camera or with a model: 'pop a hip,' 'shift weight,' 'soft chin forward'","Save this and send it to your next client before their session","Mix","Post 10am-12pm. Dual audience: photographers AND potential clients share this content."
"26","Day 26","BTS","Reel","I showed up to this session with no plan. Here's what happened.","Embrace of creative spontaneity — reassures clients who worry about over-planning","Fast-cut Reel: empty location, 'no plan' text overlay, exploring, finding light, final stunning image","Comment 'MAGIC' if you believe the best sessions are unscripted","Set 5 BTS","Post 6-8pm. Spontaneity narrative is aspirational and highly engaging."
"27","Day 27","Work/Reveals","Carousel","She built her entire brand around this one headshot session. Here's how.","Before-and-after brand transformation story — shows the ROI of professional branding photography","Slide 1: old DIY headshot. Slides 2-6: new branding session images. Slides 7-8: brand application in action","Ready to build your brand with photos that actually work? DM me 'BRAND'","Set 4 Branding","8-10 slides. Include real results if possible. Ideal for LinkedIn cross-posting."
"28","Day 28","Engagement","Single Image","Hot take: the best family photos happen when you stop trying to get everyone to smile.","Contrarian opinion on family photography — sparks debate and comments","Candid family moment: kids running, parents laughing at something real, genuine chaos and joy","Agree or disagree? Tell me in the comments","Set 3 Family","Post midday. Opinion posts drive comment threads. Respond to every comment quickly."
"29","Day 29","BTS","Carousel","My biggest photography fail — and what it taught me about this business.","Vulnerability and failure story — builds trust and makes the photographer relatable and human","Slide 1: bold hook. Slides 2-5: tell the story with images. Slides 6-7: the lesson. Slide 8: CTA","Drop your own fail story in the comments — we're all learning","Set 5 BTS","Personal story carousels get saved and shared. Don't oversell the lesson — just be real."
"30","Day 30","Work/Reveals","Reel","30 days ago I committed to showing up here. Here's every session I've shot since.","Month wrap-up Reel — celebrates consistency, showcases range, and builds momentum","Montage Reel of highlights from 30 sessions or the best images from this month, upbeat trending audio","Follow along for the next 30 days — the best work is still coming","Mix","Post 5-7pm on a Sunday. Momentum-building content. Tease what's coming next month."
