Day,Date_Placeholder,Pillar,Content_Type,Caption_Hook,Visual_Direction,CTA,Hashtag_Set,Notes
21,Week 4 - Day 3,Behind the Planning,Reels,"Watch me set up an entire ceremony space in under a minute.",Time-lapse reel from empty chairs to fully styled ceremony aisle with florals and lighting,Follow for more setup day transformations every week,Set C,Shoot wide stable angle; use upbeat music; add text timestamp overlays
22,Week 4 - Day 4,Real Weddings & Portfolio,Single Image,"The vow exchange that made even the officiant tear up.",Intimate close-up of couple holding hands exchanging vows with soft natural window light,Tag someone who needs a wedding planner like this,Set A,Horizontal crop works for this shot; candid emotion is the story
23,Week 4 - Day 5,Educational & Planning Tips,Carousel,"How to read a wedding vendor contract without a law degree.",Slide 1 bold hook; slides 2-7 break down the 6 key contract clauses with plain-English explanations,Save and share with any couple currently reviewing contracts,Set B,Use document-style layout with callout boxes; include red-flag warning icons
24,Week 4 - Day 6,Love Weddings & Romance,Reels,"This couple wrote their own vows and nobody was ready for it.",Reel of couple delivering vows with reaction cutaways to emotional family and guests,Send this to the couple who needs to write their own vows,Set D,Pair with emotional instrumental audio; keep cuts slow and deliberate
25,Week 5 - Day 1,Engagement & Community,Story Polls,"Be honest: how far out did you start planning your wedding?",Poll with options: 12+ months out vs. less than 6 months out; vibrant story background graphic,Comment below with your planning timeline story,Mix A+C,Share aggregated poll results in a follow-up story the next day
26,Week 5 - Day 2,Real Weddings & Portfolio,Single Image,"A spring wedding so perfectly styled it belongs in a magazine.",Editorial-style wide shot of reception tables with lush spring florals and soft linen napkins,Double-tap if you want your wedding to look like this,Set A,Shoot during cocktail hour before guests arrive for cleanest editorial look
27,Week 5 - Day 3,Educational & Planning Tips,Carousel,"The exact week-of checklist I use for every single wedding I plan.",Slide 1 planner holding clipboard at venue; slides 2-9 each show a day-by-day checklist category,Save this checklist now so you are never scrambling last minute,Set B,Checklist format with checkboxes is highly saveable; use consistent iconography
28,Week 5 - Day 4,Behind the Planning,Stories,"A story-by-story look at the final 3 hours before ceremony time.",Story series: vendor final call florals arriving planner doing last venue walk-through,DM me your biggest wedding day worry and I will answer it,Set C,Candid phone-quality footage is fine here; authenticity drives engagement
29,Week 5 - Day 5,Love Weddings & Romance,Single Image,"The look he gave her when she walked down the aisle said everything.",Groom reaction shot at the end of the aisle as bride approaches; pure emotion no posing,Tag a couple that had a moment like this on their wedding day,Set D,Black and white treatment amplifies emotional impact; portrait crop
30,Week 5 - Day 6,Promotions & Services,Reels,"Limited dates are open for next season. Here is why couples book early.",Reel showing montage of multiple weddings planner at work behind the scenes venue highlights,Click the link in bio to check availability and book your call,Set E,End with clear text card showing availability and booking CTA with urgency
