Week,Date,Platform,Content Type,Topic,Caption Draft,Hashtags,Call to Action,Status,Performance Notes
Week 3,2024-04-16,TikTok,Reel,My Biggest Business Mistake (and What I Learned),I made a costly mistake in my first year of business - here's what happened and what I would do differently.,#businessmistakes #entrepreneurlessons #smallbusiness #honestbusiness #solopreneur #learnfromme #realtalk,Follow For More,Draft,
Week 3,2024-04-16,LinkedIn,Post,How I Structure My Pricing Packages,Transparent conversation about how I package and price my services - and the logic behind each tier.,#pricing #businessstrategy #servicepackages #freelance #smallbusiness #transparency #entrepreneur,DM Us,Draft,
Week 3,2024-04-17,Instagram,Reel,Day in the Life - Busy Client Week,Come spend a full work day with me during one of the busiest client weeks this quarter.,#dayinthelife #smallbusiness #entrepreneur #contentcreator #solopreneur #workday #behindthescenes,Save This,Draft,
Week 3,2024-04-17,Pinterest,Blog,Free Budget Template for Small Business Owners,Download this free monthly budget tracker and finally get clarity on where your money is going.,#budgettemplate #smallbusiness #freebies #businessbudget #financetips #entrepreneur #moneymangement,Save This,Draft,
Week 3,2024-04-18,Instagram,Story,Q&A - Ask Me Anything Business,Dropping an ask me anything box - no question too big or too small about running a small business.,#qanda #askme #smallbusiness #instastory #entrepreneur #businessadvice #community,DM Us,Draft,
Week 4,2024-04-22,Instagram,Post,End of Month Reflection,April is almost done and I am reflecting on wins and lessons before jumping into May planning.,#monthlyreview #businessreflection #entrepreneur #smallbusiness #growth #goalsetting #solopreneur,Comment Below,Draft,
Week 4,2024-04-22,TikTok,Reel,5 Things I Wish I Knew Before Starting My Business,If I could go back and tell myself just 5 things before launching - this is exactly what I would say.,#businessadvice #newentrepreneur #smallbusiness #wishiknew #startingabusiness #entrepreneurtips #solopreneur,Follow For More,Draft,
Week 4,2024-04-23,Facebook,Post,Product/Service Spotlight,Shining the spotlight on one of our most popular offerings this week - here is everything you need to know.,#productspotlight #smallbusiness #shoplocal #supportsmall #featured #service #whatwedo,Shop Now,Draft,
Week 4,2024-04-23,LinkedIn,Post,Networking Win - Collaboration Announcement,Excited to share a collaboration that came from a simple LinkedIn connection 3 months ago.,#networking #collaboration #smallbusiness #partnership #linkedin #businessgrowth #entrepreneur,DM Us,Draft,
Week 4,2024-04-24,Instagram,Carousel,Your Questions About Pricing Answered,Pulled together the most common pricing questions from the community and answered every single one.,#pricingtips #smallbusiness #freelancetips #pricing #entrepreneur #servicebased #knowyourworth,Save This,Draft,
Week 4,2024-04-24,Pinterest,Blog,How to Attract Your Ideal Client Online,Stop marketing to everyone and start attracting the right people with these proven positioning strategies.,#idealclient #clientattraction #marketing #smallbusiness #niche #entrepreneur #onlinemarketing,Save This,Draft,
Week 4,2024-04-25,Instagram,Reel,Celebrating a Business Milestone,We just hit a milestone worth celebrating - and I want to thank this amazing community for being part of it.,#milestone #smallbusiness #celebration #grateful #entrepreneur #communityovercompetition #thankyou,Comment Below,Draft,
Week 4,2024-04-25,TikTok,Reel,May Prep - Planning My Next Month,May planning day! Come watch how I set up my content calendar business goals and income targets for next month.,#mayplanning #contentcalendar #businessplanning #entrepreneur #smallbusiness #goalsetting #solopreneur,Follow For More,Draft,
